capability,jev-1.13.0,bonsai-2-27b-calibrated,bonsai-2-27b-calibration-init,laya,openjev-qwen3.5-4b,spark-X2.5,von-1.1
abstraction_level_matching,0.9178,0.626,0.6331,0.4073,0.8414,0.8001,0.3567
accessibility_semantics_from_source,0.928,0.6272,0.6336,0.5131,0.5643,0.5334,0.5955
accounting_reasonableness,0.8806,0.4933,0.4963,0.4157,0.4555,0.4497,0.5177
action_item_assignment,0.8594,0.8424,0.833,0.5688,0.8667,0.8245,0.7035
action_item_extraction_verification,0.8209,0.8565,0.8203,0.6866,0.9012,0.8042,0.6073
ad_policy_violation,0.9203,0.9262,0.9109,0.7696,0.9903,0.9881,0.542
adversarial_agent_reasoning,0.9646,0.8639,0.8731,0.7552,0.9155,0.8945,0.3629
adversarial_example_detection,0.7425,0.5208,0.5281,0.4753,0.5431,0.4396,0.3683
algorithm_data_structure_appropriateness,0.7401,0.6919,0.6963,0.6021,0.691,0.7403,0.3767
allergen_present,0.9185,0.9474,0.9267,0.5783,0.9265,0.793,0.7615
analogy_validity,0.6089,0.5205,0.5284,0.3029,0.5979,0.6452,0.3542
animal_affordance_constraint_reasoning,0.9181,0.8084,0.7873,0.5135,0.7685,0.7253,0.7195
answerability_from_provided_context,0.885,0.7448,0.7493,0.394,0.7923,0.6056,0.2964
api_contract_compatibility,0.7867,0.5681,0.5745,0.2591,0.4035,0.4217,0.1865
app_review_intent,0.998,0.9158,0.9164,0.7664,0.9593,0.9975,0.9892
base_rate_awareness,0.4617,0.5511,0.5576,0.5828,0.4348,0.574,0.2848
bayesian_evidence_updating,0.8964,0.6449,0.6456,0.5533,0.5688,0.6021,0.5535
benchmark_contamination_clues,0.6358,0.5442,0.5443,0.4283,0.4829,0.5214,0.3987
biological_signal_understanding,0.9976,0.8866,0.8941,0.5196,0.8822,0.9276,0.3225
biological_system_reasoning,0.8818,0.9624,0.9416,0.6271,0.9764,0.8102,0.5983
booking_accounting_mapping,0.9959,0.865,0.8684,0.5376,0.9063,0.8969,0.5146
boundary_condition_judgement,0.9027,0.8735,0.8182,0.7131,0.9447,0.5675,0.2381
budget_consistency,0.685,0.548,0.5375,0.4927,0.5685,0.5299,0.5248
business_process_conformance,0.9832,0.7483,0.7541,0.2686,0.7031,0.7507,0.2384
cache_correctness,0.6349,0.4477,0.4561,0.3576,0.2963,0.6239,0.1771
calendar_time_zone_understanding,0.9484,0.4905,0.4945,0.6046,0.4797,0.497,0.2725
calibration_under_ambiguity,0.7336,0.689,0.7049,0.2679,0.7015,0.4917,0.2294
capacity_planning,0.5088,0.2516,0.2512,0.2401,0.2641,0.3118,0.1898
category_error_detection,0.998,0.9507,0.9557,0.8704,0.9349,0.8489,0.6516
causal_chain_validation,0.9336,0.7348,0.7433,0.5085,0.8058,0.6506,0.2066
change_risk_judgement,0.7709,0.3426,0.3327,0.2943,0.4069,0.2818,0.2033
character_goal_consistency,0.9549,0.9909,0.976,0.7078,0.9899,0.7723,0.847
churn_risk,0.979,0.9376,0.9594,0.652,0.9411,0.8985,0.9513
city_service_request,0.997,0.9799,0.9824,0.535,0.9832,0.9267,0.9871
claim_entailment,0.7484,0.529,0.5306,0.5274,0.3064,0.6769,0.4277
class_label_leakage_detection,0.7448,0.7345,0.7019,0.6871,0.7929,0.8938,0.8145
code_quality_judgements,0.8953,0.8518,0.8418,0.5123,0.8457,0.7372,0.5824
code_requirement_satisfaction,0.6711,0.3638,0.3633,0.4115,0.464,0.3397,0.225
code_review_intent,0.9527,0.9139,0.9192,0.3931,0.9221,0.9581,0.7035
code_switch_understanding,0.6094,0.5421,0.5459,0.115,0.5321,0.4835,0.192
cognitive_bias_illogic_detection,0.9501,0.8996,0.9028,0.5369,0.9283,0.9125,0.1481
command_line_semantics,0.8475,0.8059,0.8138,0.6022,0.718,0.7667,0.4717
commercial_price_plausibility,1.0,0.9325,0.9386,0.1962,0.8678,0.8846,0.1894
commit_intent,0.9165,0.8977,0.9031,0.5185,0.6945,0.8998,0.5185
comparative_judgement_transitivity,0.9315,0.8118,0.769,0.4629,0.6987,0.4203,0.4129
comparative_language_reasoning,0.7933,0.7323,0.7361,0.4609,0.7593,0.7358,0.3625
compatibility_matching,0.8079,0.8964,0.8499,0.3591,0.9265,0.8466,0.5864
competing_hypothesis_discrimination,0.9512,0.6477,0.6542,0.4828,0.7813,0.8796,0.2839
complexity_estimation,0.9932,0.954,0.959,0.206,0.954,0.9615,0.2654
concurrency_correctness,0.9809,0.9046,0.912,0.4165,0.9164,0.769,0.161
confidence_vs_evidence_consistency,0.8,0.6066,0.6134,0.2195,0.7125,0.798,0.2827
configuration_correctness,0.8938,0.7201,0.728,0.3544,0.6287,0.7616,0.4126
consistency_under_irrelevant_context_insertion,0.9449,0.5865,0.5857,0.5357,0.4912,0.4543,0.4452
consistency_under_option_permutation,0.8954,0.8872,0.8422,0.5803,0.9235,0.9373,0.9343
consistency_under_paraphrase,0.8252,0.6339,0.6298,0.4797,0.7436,0.4884,0.3654
constraint_satisfaction_judgement,0.9639,0.9284,0.9122,0.7005,0.9348,0.912,0.3391
contains_pii,0.9644,0.9687,0.9451,0.7116,0.9377,0.9268,0.7102
contains_spoiler,0.9517,0.9351,0.9096,0.627,0.9126,0.843,0.5794
content_moderation,0.9829,0.9013,0.9051,0.5926,0.8173,0.7759,0.7218
content_type,0.966,0.907,0.9139,0.4664,0.7964,0.8442,0.6546
contract_clause_consistency,0.7068,0.644,0.6504,0.1719,0.7844,0.5463,0.5008
contract_clause_type,0.9994,0.9934,0.9944,0.718,0.9992,1.0,0.9985
contradiction_resolution,0.9765,0.9286,0.936,0.4619,0.9059,0.883,0.3746
conversation_state_tracking,1.0,0.985,0.9874,0.5439,0.9249,0.9903,0.387
counterfactual_plausibility,0.7425,0.6782,0.6537,0.5559,0.7012,0.9709,0.2724
cross_document_reconciliation,0.995,0.9866,0.9887,0.4164,0.9935,0.9914,0.2234
cross_domain_synthesis,0.8675,0.7686,0.7143,0.3913,0.7942,0.6265,0.6237
data_migration_correctness,0.7846,0.6695,0.6783,0.5597,0.6407,0.6398,0.2932
data_quality_validation,0.9848,0.7345,0.7411,0.4996,0.6832,0.8906,0.2889
database_query_reasoning,0.9905,0.8738,0.8792,0.6952,0.7637,0.9194,0.3717
dataset_example_quality,0.5028,0.5886,0.5982,0.327,0.3742,0.4578,0.1604
decision_robustness,0.9311,0.5366,0.5329,0.4427,0.5336,0.5746,0.5173
definition_adherence,0.9698,0.9985,0.9932,0.4995,0.9935,0.8825,0.7766
delivery_exception,0.9984,0.9724,0.9757,0.8089,0.9909,1.0,0.9208
dependency_api_existence_judgements,0.8819,0.6792,0.6827,0.4261,0.7021,0.542,0.1883
dialogue_coherence,0.9126,0.7678,0.7757,0.2165,0.7736,0.8215,0.4093
dietary_vegan,0.9299,0.98,0.9626,0.3971,0.9683,0.8783,0.7392
dimensional_consistency,0.9215,0.9255,0.8907,0.6832,0.9092,0.6036,0.5341
distributed_systems_consistency,0.7661,0.5216,0.5309,0.2888,0.4937,0.5008,0.3456
document_consistency,0.7584,0.5327,0.5399,0.2441,0.5085,0.5191,0.4748
document_field_association,1.0,0.9861,0.9884,0.1939,0.995,1.0,0.312
document_type,1.0,0.9945,0.9956,0.9328,0.9959,1.0,0.7822
document_type_classification,1.0,0.9196,0.9235,0.8346,0.9026,1.0,0.4347
document_workflow_state,1.0,0.9539,0.9582,0.259,0.7691,0.8312,0.3191
domain_identification,0.971,0.9332,0.9379,0.5087,0.9633,0.9809,0.3885
dominated_information_detection,0.8174,0.6555,0.6367,0.4951,0.5557,0.494,0.5132
email_intent,0.998,0.9874,0.9893,0.6364,0.9911,0.9865,0.9721
email_intent_hard,0.992,0.9665,0.9699,0.3682,0.9814,0.9944,0.4037
email_thread_state_understanding,0.7162,0.7707,0.7796,0.7351,0.8704,0.7258,0.3185
