run,capability,n,accuracy,soft_accuracy,nll,brier,confidence,ece_15,score_mae,score_within_one,errors,error_rate,latency_ms_mean,latency_ms_p50,latency_ms_p95,_source_file,_line
jev-1.13.0,hard_reasoning,80,0.65,0.5756,0.7483,0.4429,0.6871,0.1711,,,0,0.0,736.7,722.4,823.0,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,1
jev-1.13.0,math_quantitative_decisions,80,0.825,0.7528,0.418,0.2374,0.8235,0.0782,,,0,0.0,723.5,717.1,774.0,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,2
jev-1.13.0,oos_abstention_ambiguity,80,0.8375,0.7454,1.1359,0.2971,0.8545,0.121,,,0,0.0,734.3,724.2,796.0,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,3
jev-1.13.0,pii_sensitive_data_classification,80,0.9875,0.9563,0.0526,0.0248,0.9575,0.0325,,,0,0.0,729.1,722.1,771.8,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,4
jev-1.13.0,routing_intent_support_priority,80,0.975,0.9411,0.1134,0.0469,0.9584,0.0354,0.1695,1.0,0,0.0,734.3,723.5,801.0,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,5
jev-1.13.0,rule_following_formal_logic,80,1.0,0.9986,0.0014,0.0,0.9986,0.0014,,,0,0.0,726.6,721.3,788.7,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,6
jev-1.13.0,security_policy_risk,80,0.9375,0.858,0.3231,0.1451,0.9062,0.0852,0.3304,0.9583,0,0.0,729.6,720.7,796.4,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,7
jev-1.13.0,structured_schema_decisions,80,1.0,0.9918,0.0095,0.0037,0.9918,0.0083,,,0,0.0,719.1,714.8,776.8,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,8
jev-1.13.0,tool_action_selection,80,0.8625,0.8176,1.0212,0.2216,0.9046,0.0694,,,0,0.0,724.1,717.8,764.7,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,9
jev-1.13.0,typed_jev_native_replay,80,0.8875,0.8459,0.3474,0.1647,0.9,0.0667,0.4692,0.7692,0,0.0,719.1,717.6,763.2,/Users/admin/Code/typed-decision-bench/output/jev-1.13.0_stats.jsonl,10
