capability,jev-1.13.0,bonsai-2-27b-calibrated,bonsai-2-27b-calibration-init,laya,openjev-qwen3.5-4b,spark-X2.5,von-1.1
abstraction_level_matching,80,80,80,80,80,80,80
accessibility_semantics_from_source,80,80,80,80,80,80,80
accounting_reasonableness,80,80,80,80,80,80,80
action_item_assignment,80,80,80,80,80,80,80
action_item_extraction_verification,80,80,80,80,80,80,80
ad_policy_violation,80,80,80,80,80,80,80
adversarial_agent_reasoning,80,80,80,80,80,80,80
adversarial_example_detection,80,80,80,80,80,80,80
algorithm_data_structure_appropriateness,80,80,80,80,80,80,80
allergen_present,80,80,80,80,80,80,80
analogy_validity,80,80,80,80,80,80,80
animal_affordance_constraint_reasoning,80,80,80,80,80,80,80
answerability_from_provided_context,80,80,80,80,80,80,80
api_contract_compatibility,80,80,80,80,80,80,80
app_review_intent,80,80,80,80,80,80,80
base_rate_awareness,80,80,80,80,80,80,80
bayesian_evidence_updating,80,80,80,80,80,80,80
benchmark_contamination_clues,80,80,80,80,80,80,80
biological_signal_understanding,80,80,80,80,80,80,80
biological_system_reasoning,80,80,80,80,80,80,80
booking_accounting_mapping,80,80,80,80,80,80,80
boundary_condition_judgement,80,80,80,80,80,80,80
budget_consistency,80,80,80,80,80,80,80
business_process_conformance,80,80,80,80,80,80,80
cache_correctness,80,80,80,80,80,80,80
calendar_time_zone_understanding,80,80,80,80,80,80,80
calibration_under_ambiguity,80,80,80,80,80,80,80
capacity_planning,80,80,80,80,80,80,80
category_error_detection,80,80,80,80,80,80,80
causal_chain_validation,80,80,80,80,80,80,80
change_risk_judgement,80,80,80,80,80,80,80
character_goal_consistency,80,80,80,80,80,80,80
churn_risk,80,80,80,80,80,80,80
city_service_request,80,80,80,80,80,80,80
claim_entailment,80,80,80,80,80,80,80
class_label_leakage_detection,80,80,80,80,80,80,80
code_quality_judgements,80,80,80,80,80,80,80
code_requirement_satisfaction,80,80,80,80,80,80,80
code_review_intent,80,80,80,80,80,80,80
code_switch_understanding,80,80,80,80,80,80,80
cognitive_bias_illogic_detection,80,80,80,80,80,80,80
command_line_semantics,80,80,80,80,80,80,80
commercial_price_plausibility,80,80,80,80,80,80,80
commit_intent,80,80,80,80,80,80,80
comparative_judgement_transitivity,80,80,80,80,80,80,80
comparative_language_reasoning,80,80,80,80,80,80,80
compatibility_matching,80,80,80,80,80,80,80
competing_hypothesis_discrimination,80,80,80,80,80,80,80
complexity_estimation,80,80,80,80,80,80,80
concurrency_correctness,80,80,80,80,80,80,80
confidence_vs_evidence_consistency,80,80,80,80,80,80,80
configuration_correctness,80,80,80,80,80,80,80
consistency_under_irrelevant_context_insertion,80,80,80,80,80,80,80
consistency_under_option_permutation,80,80,80,80,80,80,80
consistency_under_paraphrase,80,80,80,80,80,80,80
constraint_satisfaction_judgement,80,80,80,80,80,80,80
contains_pii,80,80,80,80,80,80,80
contains_spoiler,80,80,80,80,80,80,80
content_moderation,80,80,80,80,80,80,80
content_type,80,80,80,80,80,80,80
contract_clause_consistency,80,80,80,80,80,80,80
contract_clause_type,80,80,80,80,80,80,80
contradiction_resolution,80,80,80,80,80,80,80
conversation_state_tracking,80,80,80,80,80,80,80
counterfactual_plausibility,80,80,80,80,80,80,80
cross_document_reconciliation,80,80,80,80,80,80,80
cross_domain_synthesis,80,80,80,80,80,80,80
data_migration_correctness,80,80,80,80,80,80,80
data_quality_validation,80,80,80,80,80,80,80
database_query_reasoning,80,80,80,80,80,80,80
dataset_example_quality,80,80,80,80,80,80,80
decision_robustness,80,80,80,80,80,80,80
definition_adherence,80,80,80,80,80,80,80
delivery_exception,80,80,80,80,80,80,80
dependency_api_existence_judgements,80,80,80,80,80,80,80
dialogue_coherence,80,80,80,80,80,80,80
dietary_vegan,80,80,80,80,80,80,80
dimensional_consistency,80,80,80,80,80,80,80
distributed_systems_consistency,80,80,80,80,80,80,80
document_consistency,80,80,80,80,80,80,80
document_field_association,80,80,80,80,80,80,80
document_type,80,80,80,80,80,80,80
document_type_classification,80,80,80,80,80,80,80
document_workflow_state,80,80,80,80,80,80,80
domain_identification,80,80,80,80,80,80,80
dominated_information_detection,80,80,80,80,80,80,80
email_intent,80,80,80,80,80,80,80
email_intent_hard,80,80,80,80,80,80,80
email_thread_state_understanding,80,80,80,80,80,80,80
embodied_affordances,80,80,80,80,80,80,80
embodied_animal_understanding,80,80,80,80,80,80,80
embodied_emotions,80,80,80,80,80,80,80
embodied_time_aware_world_views,80,80,80,80,80,80,80
embodied_unknowns,80,80,80,80,80,80,80
emotion_cause_attribution,80,80,80,80,80,80,80
entity_resolution,80,80,80,80,80,80,80
environment_portability_judgements,80,80,80,80,80,80,80
error_handling_quality,80,80,80,80,80,80,80
evidence_provenance,80,80,80,80,80,80,80
evidence_sufficiency,80,80,80,80,80,80,80
expected_utility_decisions,80,80,80,80,80,80,80
expense_category,80,80,80,80,80,80,80
experimental_design_judgement,80,80,80,80,80,80,80
expertise_level_estimation_of_text,80,80,80,80,80,80,80
explanation_necessity_judgement,80,80,80,80,80,80,80
explanation_quality_judgement,80,80,80,80,80,80,80
