capability,min,max,spread,models_present
information_retrieval_relevance,0.0001,1.0,0.9999,7
transaction_anomaly_detection,0.0701,0.9366,0.8665,7
graph_path_relevance,0.1361,0.997,0.8609,7
root_cause_attribution,0.159,0.9949,0.8359,7
concurrency_correctness,0.161,0.9809,0.8199,7
commercial_price_plausibility,0.1894,1.0,0.8106,7
document_field_association,0.1939,1.0,0.8061,7
noisy_ocr_reconstruction,0.1843,0.9899,0.8056,7
cognitive_bias_illogic_detection,0.1481,0.9501,0.8019999999999999,7
language_dialect_identification,0.1987,1.0,0.8013,7
translation_correctness,0.1971,0.9977,0.8006,7
weather_state_interpretation,0.1667,0.9611,0.7944,7
complexity_estimation,0.206,0.9932,0.7872,7
failure_mode_classification,0.2132,0.997,0.7838,7
summary_completeness,0.2194,0.9988,0.7794,7
cross_document_reconciliation,0.2234,0.995,0.7716000000000001,7
environment_portability_judgements,0.2138,0.9829,0.7691,7
performance_bottleneck_attribution,0.1827,0.9481,0.7654000000000001,7
long_context_distractor_resistance,0.2427,1.0,0.7573,7
spreadsheet_formula_semantics_from_text,0.2413,0.9946,0.7533000000000001,7
business_process_conformance,0.2384,0.9832,0.7447999999999999,7
document_workflow_state,0.259,1.0,0.741,7
causal_chain_validation,0.2066,0.9336,0.727,7
grammar_judgement,0.2551,0.9776,0.7225,7
structured_schema_decisions,0.2743,0.9918,0.7175,7
product_catalog_matching,0.2827,0.9986,0.7159,7
object_permanence_state_tracking,0.288,1.0,0.712,7
needle_set_retrieval,0.2528,0.9623,0.7095,7
boundary_condition_judgement,0.2381,0.9447,0.7066,7
recoverability_judgement,0.2033,0.9084,0.7051,7
table_reasoning_from_linearized_text,0.2375,0.9388,0.7013,7
order_of_magnitude_reasoning,0.2581,0.9582,0.7001000000000001,7
counterfactual_plausibility,0.2724,0.9709,0.6985,7
dialogue_coherence,0.2165,0.9126,0.6960999999999999,7
data_quality_validation,0.2889,0.9848,0.6959,7
dependency_api_existence_judgements,0.1883,0.8819,0.6936,7
recommendation_reranking_quality,0.3082,0.9994,0.6912,7
temporal_ordering,0.3116,0.9999,0.6883,7
idempotency_judgements,0.2942,0.975,0.6808,7
spatial_relation_reasoning,0.2057,0.8848,0.6791,7
review_sentiment_hard,0.2705,0.9492,0.6787000000000001,7
rubric_based_quality_assessment,0.2701,0.9476,0.6775,7
calendar_time_zone_understanding,0.2725,0.9484,0.6759,7
biological_signal_understanding,0.3225,0.9976,0.6751,7
sarcasm_and_humor_understanding,0.2235,0.8979,0.6744,7
stopping_decision_sufficiency,0.2881,0.9594,0.6713,7
tool_action_selection,0.2016,0.8717,0.6701,7
competing_hypothesis_discrimination,0.2839,0.9512,0.6673,7
probability_calibration_language,0.3232,0.9881,0.6649,7
incident_severity_hard,0.2594,0.9193,0.6598999999999999,7
mood_atmosphere_understanding,0.3313,0.9901,0.6588,7
taxonomy_category_assignment,0.3417,1.0,0.6583,7
probability_support_judgement,0.2247,0.8807,0.656,7
resource_planning,0.1654,0.821,0.6556,7
review_sentiment,0.3048,0.9584,0.6536,7
route_feasibility,0.2453,0.8988,0.6535000000000001,7
spurious_correlation_resistance,0.1155,0.7688,0.6533,7
social_norm_reasoning,0.3203,0.973,0.6527000000000001,7
experimental_design_judgement,0.3202,0.9684,0.6482000000000001,7
operational_urgency,0.3023,0.9367,0.6344,7
historical_anachronism_detection,0.2342,0.8671,0.6329,7
