capability,bonsai-2-27b-calibrated,bonsai-2-27b-calibration-init,laya,openjev-qwen3.5-4b,spark-X2.5,von-1.1
abstraction_level_matching,-0.29179999999999995,-0.28469999999999995,-0.5105,-0.07639999999999991,-0.11769999999999992,-0.5610999999999999
accessibility_semantics_from_source,-0.30080000000000007,-0.2944,-0.41490000000000005,-0.3637,-0.39460000000000006,-0.3325
accounting_reasonableness,-0.38730000000000003,-0.38430000000000003,-0.46490000000000004,-0.42510000000000003,-0.43090000000000006,-0.3629
action_item_assignment,-0.017000000000000015,-0.02640000000000009,-0.2906000000000001,0.007299999999999973,-0.03490000000000004,-0.15590000000000004
action_item_extraction_verification,0.035600000000000076,-0.0005999999999999339,-0.13429999999999997,0.08030000000000004,-0.016699999999999937,-0.2136
ad_policy_violation,0.005900000000000016,-0.009399999999999964,-0.15070000000000006,0.06999999999999995,0.06779999999999997,-0.37829999999999997
adversarial_agent_reasoning,-0.10070000000000001,-0.09150000000000003,-0.20940000000000003,-0.04910000000000003,-0.07010000000000005,-0.6017
adversarial_example_detection,-0.2217,-0.21440000000000003,-0.26720000000000005,-0.19940000000000002,-0.30290000000000006,-0.37420000000000003
algorithm_data_structure_appropriateness,-0.04820000000000002,-0.04379999999999995,-0.138,-0.04910000000000003,0.00019999999999997797,-0.3634
allergen_present,0.028900000000000037,0.008199999999999985,-0.34019999999999995,0.008000000000000007,-0.12549999999999994,-0.15700000000000003
analogy_validity,-0.08840000000000003,-0.08050000000000002,-0.306,-0.01100000000000001,0.0363,-0.2547
animal_affordance_constraint_reasoning,-0.10970000000000002,-0.13080000000000003,-0.40460000000000007,-0.14960000000000007,-0.19280000000000008,-0.1986
answerability_from_provided_context,-0.1402,-0.13570000000000004,-0.491,-0.0927,-0.2794,-0.5886
api_contract_compatibility,-0.2185999999999999,-0.21219999999999994,-0.5276,-0.38319999999999993,-0.36499999999999994,-0.6002
app_review_intent,-0.08220000000000005,-0.0816,-0.23160000000000003,-0.03869999999999996,-0.0004999999999999449,-0.00880000000000003
base_rate_awareness,0.08940000000000003,0.09589999999999999,0.12109999999999999,-0.02689999999999998,0.11229999999999996,-0.1769
bayesian_evidence_updating,-0.25149999999999995,-0.2508,-0.34309999999999996,-0.3276,-0.2943,-0.3429
benchmark_contamination_clues,-0.09160000000000001,-0.09150000000000003,-0.20750000000000002,-0.15290000000000004,-0.11440000000000006,-0.23710000000000003
biological_signal_understanding,-0.11099999999999999,-0.10350000000000004,-0.4780000000000001,-0.11540000000000006,-0.07000000000000006,-0.6751
biological_system_reasoning,0.0806,0.059799999999999964,-0.25470000000000004,0.09460000000000002,-0.0716,-0.2835
booking_accounting_mapping,-0.13090000000000002,-0.12750000000000006,-0.45830000000000004,-0.08960000000000001,-0.09899999999999998,-0.48130000000000006
boundary_condition_judgement,-0.029199999999999893,-0.08449999999999991,-0.1896,0.04200000000000004,-0.33519999999999994,-0.6646
budget_consistency,-0.137,-0.14750000000000008,-0.19230000000000003,-0.11650000000000005,-0.15510000000000002,-0.1602
business_process_conformance,-0.2349,-0.22909999999999997,-0.7145999999999999,-0.2801,-0.23249999999999993,-0.7447999999999999
cache_correctness,-0.18720000000000003,-0.17880000000000001,-0.27730000000000005,-0.3386,-0.01100000000000001,-0.4578
calendar_time_zone_understanding,-0.45790000000000003,-0.4539,-0.3438,-0.4687,-0.4514,-0.6759
calibration_under_ambiguity,-0.044600000000000084,-0.02870000000000006,-0.4657,-0.03210000000000002,-0.2419,-0.5042
capacity_planning,-0.25720000000000004,-0.25760000000000005,-0.26870000000000005,-0.24470000000000003,-0.197,-0.31900000000000006
category_error_detection,-0.04730000000000001,-0.042300000000000004,-0.12760000000000005,-0.06310000000000004,-0.1491,-0.34640000000000004
causal_chain_validation,-0.19879999999999998,-0.19030000000000002,-0.42510000000000003,-0.12780000000000002,-0.28300000000000003,-0.727
change_risk_judgement,-0.4283,-0.43820000000000003,-0.4766,-0.36400000000000005,-0.48910000000000003,-0.5676
character_goal_consistency,0.03600000000000003,0.021100000000000008,-0.2471,0.03500000000000003,-0.18259999999999998,-0.1079
churn_risk,-0.04139999999999999,-0.01959999999999995,-0.32699999999999996,-0.037899999999999934,-0.08050000000000002,-0.027699999999999947
